Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
variable,GP-FOG-VAR,Fleurs CBD OG Kush Indoor,1,0,visible,"Arômes complexes de citron, pin et terre. Effets relaxants. CBD ~18%.","Découvrez notre Fleurs CBD OG Kush Indoor de qualité premium. Arômes complexes de citron, pin et terre. Effets relaxants. CBD ~18%. Taux de CBD : 18%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, indoor, og kush, relaxation",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-FOG-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,5.9,,,,,,,GP-FOG-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-FOG-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,12.9,,,,,,,GP-FOG-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FOG-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,19.9,22.0,,,,,,,GP-FOG-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FOG-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,34.9,39.0,,,,,,,GP-FOG-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FOG-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,74.9,84.0,,,,,,,GP-FOG-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FOG-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,129.9,149.0,,,,,,,GP-FOG-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-FAH-VAR,Fleurs CBD Amnesia Haze Indoor,1,0,visible,"Arômes citronnés et épicés, goût fruité. Effet stimulant et créatif. CBD ~20%.","Découvrez notre Fleurs CBD Amnesia Haze Indoor de qualité premium. Arômes citronnés et épicés, goût fruité. Effet stimulant et créatif. CBD ~20%. Taux de CBD : 20%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, indoor, amnesia haze, stimulant",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-FAH-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,5.9,,,,,,,GP-FAH-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-FAH-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,12.9,,,,,,,GP-FAH-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FAH-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,19.9,22.0,,,,,,,GP-FAH-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FAH-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,34.9,39.0,,,,,,,GP-FAH-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FAH-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,74.9,84.0,,,,,,,GP-FAH-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FAH-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,129.9,149.0,,,,,,,GP-FAH-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-FPH-VAR,Fleurs CBD Purple Haze Indoor,1,0,visible,Arômes fruités et floraux aux notes de myrtille. Effets euphorisants et créatifs. CBD ~17%.,"Découvrez notre Fleurs CBD Purple Haze Indoor de qualité premium. Arômes fruités et floraux aux notes de myrtille. Effets euphorisants et créatifs. CBD ~17%. Taux de CBD : 17%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, indoor, purple haze, créatif",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_gorilla.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-FPH-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,5.9,,,,,,,GP-FPH-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-FPH-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,12.9,,,,,,,GP-FPH-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FPH-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,19.9,22.0,,,,,,,GP-FPH-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FPH-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,34.9,39.0,,,,,,,GP-FPH-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FPH-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,74.9,84.0,,,,,,,GP-FPH-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FPH-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,129.9,149.0,,,,,,,GP-FPH-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-FGG-VAR,Fleurs CBD Gorilla Glue Indoor,1,0,visible,Arômes puissants de terre et de chocolat. Détente profonde. CBD ~22%.,"Découvrez notre Fleurs CBD Gorilla Glue Indoor de qualité premium. Arômes puissants de terre et de chocolat. Détente profonde. CBD ~22%. Taux de CBD : 22%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, indoor, gorilla glue, détente",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_gorilla.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-FGG-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,5.9,,,,,,,GP-FGG-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-FGG-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,12.9,,,,,,,GP-FGG-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FGG-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,19.9,22.0,,,,,,,GP-FGG-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FGG-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,34.9,39.0,,,,,,,GP-FGG-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FGG-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,74.9,84.0,,,,,,,GP-FGG-VAR,,,,,,,Grammage,25g,1,1,,,,
variation,GP-FGG-50g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,129.9,149.0,,,,,,,GP-FGG-VAR,,,,,,,Grammage,50g,1,1,,,,
variable,GP-FLH-VAR,Fleurs CBD Lemon Haze Indoor,1,0,visible,Arômes citron vif et notes herbacées. Effet énergisant et focus. CBD ~19%.,"Découvrez notre Fleurs CBD Lemon Haze Indoor de qualité premium. Arômes citron vif et notes herbacées. Effet énergisant et focus. CBD ~19%. Taux de CBD : 19%. THC < 0,2%. Cultivé en Union Européenne, certifié Bio. Analyses laboratoire indépendant disponibles.",,,taxable,,1,,,,,,,,,1,,,,Fleurs CBD,"fleurs cbd, indoor, lemon haze, énergie",,https://cbdborea.com/wp-content/themes/greenpure-cbd-theme/assets/images/products-premium/borea_fleur_cbd_luxe.png,,,,,,,,,,Grammage,1g | 3g | 5g | 10g | 25g | 50g,1,1,,,,
variation,GP-FLH-1g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,5.9,,,,,,,GP-FLH-VAR,,,,,,,Grammage,1g,1,1,,,,
variation,GP-FLH-3g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,,12.9,,,,,,,GP-FLH-VAR,,,,,,,Grammage,3g,1,1,,,,
variation,GP-FLH-5g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,19.9,22.0,,,,,,,GP-FLH-VAR,,,,,,,Grammage,5g,1,1,,,,
variation,GP-FLH-10g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,34.9,39.0,,,,,,,GP-FLH-VAR,,,,,,,Grammage,10g,1,1,,,,
variation,GP-FLH-25g,,1,,visible,,,,,taxable,,1,500,,,,,,,,1,,74.9,84.0,,,,,,,GP-FLH-VAR,,,,,,,Grammage,25g,1,1,,,,
